code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
CZE-CZSTAN,Czech Republic,CZE,CZSTAN,Maires et Indépendants,Starostové a nezávisli,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,CEN,Center,,Starostové a nezávisli,,,
CZE-STAN,Czech Republic,CZE,STAN,Maires et indépendants,Starostové a nezávislí,Mayors and Independents,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,CEN,Center,,,,Starostové a Nezávislí,
CZE-ANO,Czech Republic,CZE,ANO,Oui 2011,ANO 2011,,PPLE,Les Patriotes,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,DRO,Right,,ANO 2011,,ANO 2011,
CZE-KSCM,Czech Republic,CZE,KSCM,Parti communiste de Bohême et Moravie,Komunistická strana Čech a Moravy,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,DSV,Right nationalist,,Komunistická strana Čech a Moravy,,Komunistická strana Čech a Moravy,
CZE-ODS,Czech Republic,CZE,ODS,Parti démocrate civique,Občanská demokratická strana,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,DSV,Right nationalist,,Občanská demokratická strana,,Občanská Demokratická Strana,
CZE-SVOBODNI,Czech Republic,CZE,SVOBODNI,Parti des citoyens libres,Strana svobodných občanů,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,LIB,Liberal,DSV,Right nationalist,,Strana svobodných občanů,,,
CZE-PIRATI,Czech Republic,CZE,PIRATI,Parti pirate tchèque,Česká Pirátská Strana,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,AUT,Others,GAU,Left,,PIRÁTI,,Česká Pirátská Strana,Česká Pirátská Strana
CZE-CSSD,Czech Republic,CZE,CSSD,Parti social-démocrate tchèque,Česká strana sociálně demokratická,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Česká strana sociálně demokratická,,,
CZE-SZ,Czech Republic,CZE,SZ,Parti vert,,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,nc,,,
CZE-PSH,Czech Republic,CZE,PSH,Serment,Přísaha,Oath,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,AUT,Others,,,,Přísaha,,Přísaha – občanské hnutí Roberta Šlachty,
CZE-TOP09,Czech Republic,CZE,TOP09,"Tradition, responsabilité, prospérité",Tradice Odpovědnost Prosperita,Tradition Responsibility Prosperity,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,,,TOP 09,
CZE-TOP9,Czech Republic,CZE,TOP9,"Tradition, responsabilité, prospérité",TOP 09 a Starostové,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,TOP 09 a Starostové,,,
CZE-KDU,Czech Republic,CZE,KDU,Union chrétienne démocrate - Parti populaire tchécoslovaque,Křesťanská a demokratická unie – Československá strana lidová,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Křesťanská a demokratická unie - Československá strana lidová,,,
CZE-KDUCSL,Czech Republic,CZE,KDUCSL,Union chrétienne démocrate – Parti populaire tchécoslovaque,Křesťanská a demokratická unie – Československá strana lidová,Christian and Democratic Union – Czechoslovak People's Party,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,DRO,Right,,,,,,Křesťanská a Demokratická Unie – Československá Strana Lidová,
DNK-I,Denmark,DNK,I,Alliance libérale,Liberal Alliance,Liberal Alliance,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,LIB,Liberal,,,,Liberal Alliance,,Liberal Alliance,
